SNO,OPERATION,APPLICATION,DATE
148,Installed,junit-4.11-8.1.amzn2.0.1.noarch,03292019
149,Installed,qdox-1.12.1-10.amzn2.noarch,03292019
150,Installed,jsoup-1.6.1-10.amzn2.noarch,03292019
151,Installed,1:java-1.8.0-openjdk-devel-1.8.0.201.b09-0.amzn2.x86_64,03292019
152,Installed,apache-commons-cli-1.2-13.amzn2.noarch,03292019
153,Installed,jboss-el-2.2-api-1.0.1-0.7.20120212git2fabd8.amzn2.noarch,03292019
154,Installed,jzlib-1.1.1-6.amzn2.noarch,03292019
155,Installed,jsch-0.1.50-5.amzn2.noarch,03292019
156,Installed,felix-framework-4.2.1-5.amzn2.noarch,03292019
157,Installed,xbean-3.13-6.amzn2.noarch,03292019
158,Installed,plexus-containers-container-default-1.5.5-14.amzn2.noarch,03292019
159,Installed,geronimo-annotation-1.0-15.amzn2.noarch,03292019
160,Installed,jboss-interceptors-1.1-api-1.0.2-0.9.20120319git49a904.amzn2.noarch,03292019
161,Installed,jboss-servlet-3.0-api-1.0.1-9.amzn2.noarch,03292019
162,Installed,jboss-jaxrpc-1.1-api-1.0.1-7.amzn2.noarch,03292019
163,Installed,jboss-transaction-1.1-api-1.0.1-8.amzn2.noarch,03292019
164,Installed,jboss-ejb-3.1-api-1.0.2-10.amzn2.noarch,03292019
165,Installed,cdi-api-1.0-11.SP4.amzn2.noarch,03292019
166,Installed,sisu-inject-bean-2.3.0-11.amzn2.noarch,03292019
167,Installed,sisu-inject-plexus-2.3.0-11.amzn2.noarch,03292019
168,Installed,1:apache-commons-io-2.4-12.amzn2.noarch,03292019
169,Installed,maven-wagon-2.4-3.amzn2.noarch,03292019
170,Installed,aether-connector-wagon-1.13.1-13.amzn2.noarch,03292019
171,Installed,maven-3.0.5-17.amzn2.noarch,03292019
172,Erased,maven-3.0.5-17.amzn2.noarch,03292019
